game_id,rows,cols,mines,moves,outcome,duration_s,rng_seed
1,20,20,20,35,win,0.866,2570086881
2,20,20,20,30,win,0.95,949043991
3,20,20,20,1,loss,0.659,1476038164
4,20,20,20,34,win,1.687,1191399396
5,20,20,20,31,win,0.644,1099776650
6,20,20,20,23,win,0.764,1885049807
7,20,20,20,32,win,0.783,368585628
8,20,20,20,41,win,0.672,2676138542
9,20,20,20,31,win,0.622,1060774396
10,20,20,20,28,win,0.965,2237441566
1,25,25,30,54,win,1.236,761629977
2,25,25,30,52,win,0.837,2041482533
3,25,25,30,49,win,0.902,66999273
4,25,25,30,48,win,0.824,742329639
5,25,25,30,57,win,0.984,3530539514
6,25,25,30,65,win,0.829,760323809
7,25,25,30,39,win,0.797,3878936491
8,25,25,30,41,win,0.835,361415273
9,25,25,30,51,win,1.936,1733326328
10,25,25,30,53,win,0.981,2293091397
11,25,25,30,34,win,0.879,2433185624
12,25,25,30,50,win,2.048,1554761250
13,25,25,30,3,loss,2.784,1958371826
14,25,25,30,38,win,2.508,1762797995
15,25,25,30,57,win,4.008,3993247663
1,9,9,10,10,loss,50.758,4029161985
2,9,9,10,1,loss,3.016,3176104594
3,9,9,10,2,loss,10.879,3023325146
4,9,9,10,7,loss,28.601,2409242733
5,9,9,10,1,loss,3.225,596806974
1,30,30,30,35,win,1.749,4118221201
2,30,30,30,32,win,1.294,714162954
3,30,30,30,48,win,1.165,3196990527
4,30,30,30,47,win,1.349,2620878336
5,30,30,30,46,win,0.981,1195684642
6,30,30,30,47,win,1.1,1683479424
7,30,30,30,44,win,1.456,3336493805
8,30,30,30,37,win,1.603,122008309
9,30,30,30,43,win,0.906,3953750787
10,30,30,30,42,win,1.885,3726592732
11,30,30,30,44,win,1.568,1213848678
12,30,30,30,45,win,4.998,109076063
13,30,30,30,49,win,1.446,4180167582
14,30,30,30,1,loss,1.47,2295025532
15,30,30,30,44,win,4.691,842393911
16,30,30,30,50,win,1.234,1878260516
17,30,30,30,40,win,2.487,991364322
18,30,30,30,44,win,2.586,1634616139
19,30,30,30,41,win,1.041,2074634471
20,30,30,30,1,loss,1.184,3666167878
21,30,30,30,42,win,0.911,1942688205
22,30,30,30,44,win,0.963,1351812183
23,30,30,30,47,win,5.079,394067789
24,30,30,30,45,win,2.949,425886135
25,30,30,30,38,win,3.175,4095168941
26,30,30,30,32,win,4.96,3005236025
27,30,30,30,46,win,5.264,808603383
28,30,30,30,50,win,6.031,2292561974
29,30,30,30,39,win,1.571,911491625
30,30,30,30,39,win,1.535,2298780212
